student_id,study_hours_per_day,attendance_percentage,previous_score,assignments_completed,sleep_hours,parental_support,extra_curricular,internet_access,performance_level
1001,6.4,61.1,52,8,5.3,Low,No,Yes,At-Risk
1002,5.0,71.1,64,8,6.1,Low,Yes,Yes,At-Risk
1003,6.3,62.3,65,2,5.6,Medium,No,Yes,At-Risk
1004,7.9,74.2,72,8,6.2,Medium,No,Yes,Good
1005,4.7,47.7,44,12,6.7,Low,No,Yes,At-Risk
1006,4.6,75.5,73,4,8.3,High,Yes,Yes,Average
1007,8.4,76.0,24,14,6.5,Medium,Yes,Yes,Average
1008,6.7,59.6,55,11,4.6,High,Yes,Yes,Average
1009,4.4,87.1,57,7,8.7,High,Yes,Yes,Good
1010,5.9,88.1,74,9,5.7,High,No,Yes,Good
1011,4.5,50.7,65,16,6.9,Medium,No,Yes,At-Risk
1012,4.1,66.2,43,12,7.7,Medium,Yes,Yes,At-Risk
1013,6.1,60.9,50,10,7.3,Medium,No,Yes,Good
1014,1.0,58.1,67,9,8.6,Medium,Yes,Yes,At-Risk
1015,2.1,86.3,63,10,7.7,Medium,Yes,No,At-Risk
1016,3.9,74.2,56,7,5.7,High,Yes,Yes,Average
1017,2.8,68.0,57,1,10.0,High,Yes,Yes,At-Risk
1018,5.5,39.3,75,18,7.3,High,No,Yes,Good
1019,3.1,83.6,57,10,6.8,High,Yes,Yes,Average
1020,2.3,57.5,63,11,8.4,Low,No,No,At-Risk
1021,8.1,78.3,97,9,7.4,Low,Yes,No,Good
1022,4.4,78.2,43,7,7.6,Medium,No,Yes,Average
1023,5.1,94.6,37,9,10.0,Medium,Yes,Yes,Average
1024,2.8,57.7,76,3,6.6,High,Yes,Yes,Average
1025,4.4,30.0,54,19,6.5,Medium,Yes,Yes,Average
1026,5.4,77.0,60,5,7.2,Medium,Yes,Yes,Good
1027,2.7,100.0,53,5,8.6,Medium,Yes,Yes,Average
1028,5.8,94.5,61,8,4.7,Low,No,Yes,Average
1029,4.0,77.1,88,15,4.1,Medium,No,Yes,Good
1030,4.1,67.7,77,10,6.1,High,No,Yes,Average
1031,3.7,82.1,77,5,4.5,Low,Yes,Yes,At-Risk
1032,8.2,59.1,43,15,6.4,Medium,Yes,Yes,Good
1033,5.1,83.1,47,12,7.8,Medium,Yes,No,At-Risk
1034,3.1,80.6,22,12,5.7,Low,No,Yes,At-Risk
1035,7.9,86.1,52,15,4.4,Low,No,Yes,Good
1036,3.0,100.0,79,19,7.1,High,No,No,Good
1037,5.0,80.2,72,18,8.3,Medium,No,No,Good
1038,0.6,67.7,61,7,4.5,Low,Yes,Yes,At-Risk
1039,2.4,72.7,64,16,8.2,Low,Yes,Yes,At-Risk
1040,10.6,86.2,36,11,8.2,Medium,Yes,Yes,Good
1041,7.0,65.8,68,11,8.4,Medium,Yes,Yes,Good
1042,5.2,69.2,76,3,8.8,Medium,Yes,Yes,Average
